day	tweets
2018-01-10	53417
2018-01-11	54170
2018-01-12	51819
2018-01-13	53529
2018-01-14	53459
2018-01-15	51867
2018-01-16	50257
2018-01-17	51647
2018-01-18	47267
2018-01-19	42494
2018-01-20	43595
2018-01-21	45167
2018-01-22	44043
2018-01-23	45660
2018-01-24	45477
2018-01-25	45289
2018-01-26	52533
2018-01-27	51625
2018-01-28	51060
2018-01-29	48951
2018-01-30	52333
2018-04-01	45294
2018-04-02	50292
2018-04-03	52627
2018-04-04	49643
2018-04-05	48386
2018-04-06	48172
2018-04-07	50116
2018-04-08	48572
2018-04-09	49123
2018-04-10	53557
2018-04-11	54122
2018-04-12	51828
2018-04-13	52269
2018-04-14	54723
2018-04-15	49854
2018-04-16	48775
2018-04-17	51976
2018-04-18	50710
2018-04-19	50955
2018-04-20	47727
2018-04-21	51042
2018-04-22	50170
2018-04-23	48783
2018-04-24	49987
2018-04-25	46860
2018-04-26	49802
2018-04-27	49500
2018-04-28	51062
2018-04-29	49509
2018-04-30	49327
2018-05-01	55354
2018-05-02	51806
2018-05-03	49623
2018-05-04	52993
2018-05-05	52352
2018-05-06	51567
2018-05-07	48266
2018-05-08	49820
2018-05-09	50930
2018-05-10	52767
2018-05-11	52113
2018-05-12	60149
2018-05-13	57175
2018-05-14	55282
2018-05-15	54694
2018-05-16	57717
2018-05-17	54145
2018-05-18	55412
2018-05-19	56545
2018-05-20	57380
2018-05-21	54850
2018-05-22	54164
2018-05-23	56350
2018-05-24	54308
2018-05-25	57216
2018-05-26	61095
2018-05-27	56343
2018-05-28	57949
2018-05-29	58777
2018-05-30	59258
2018-05-31	56120
2018-06-01	59092
2018-06-02	60012
2018-06-03	57868
2018-06-04	55653
2018-06-05	54902
2018-06-06	46115
2018-06-07	46035
2018-06-08	47042
2018-06-09	45195
2018-06-10	50695
2018-06-11	47627
2018-06-12	47782
2018-06-13	49832
2018-06-14	54801
2018-06-15	54376
2018-06-16	48636
2018-06-17	47812
2018-06-18	48732
2018-06-19	50393
2018-06-20	50064
2018-06-21	50591
2018-06-22	50275
2018-06-23	54316
2018-06-24	50420
2018-06-25	52030
2018-06-26	48371
2018-06-27	49131
2018-06-28	47211
2018-06-29	47017
2018-06-30	51173
2018-07-01	47692
2018-07-02	48752
2018-07-03	47275
2018-07-04	46022
2018-07-05	50646
2018-07-06	48777
2018-07-07	49376
2018-07-08	48734
2018-07-09	48894
2018-07-10	51199
2018-07-11	49887
2018-07-12	49442
2018-07-13	53349
2018-07-14	26875
2018-07-15	19200
2018-07-16	34155
2018-07-17	41987
2018-07-18	42565
2018-07-19	38705
2018-07-20	41050
2018-07-21	40679
2018-07-22	39219
2018-07-23	33759
2018-07-24	38050
2018-07-25	38992
2018-07-26	40939
2018-07-27	42860
2018-07-28	41723
2018-07-29	42494
2018-07-30	42167
2018-07-31	43017
2018-09-01	46509
2018-09-02	49224
2018-09-03	49529
2018-09-04	53565
2018-09-05	50103
2018-09-06	51569
2018-09-07	56051
2018-09-08	52342
2018-09-09	52013
2018-09-10	53112
2018-09-11	49238
2018-09-12	47541
2018-09-13	47266
2018-09-14	44342
2018-09-15	53930
2018-09-16	46770
2018-09-17	49618
2018-09-18	48559
2018-09-19	49036
2018-09-20	54266
2018-09-21	49562
2018-09-22	49631
2018-09-23	49814
2018-09-24	50758
2018-09-25	48405
2018-09-26	49670
2018-09-27	50464
2018-09-28	48410
2018-09-29	47848
2018-09-30	47176
2018-10-12	44550
2018-10-13	45210
2018-10-14	43138
2018-10-15	44295
2018-10-16	43157
2018-10-17	44652
2018-10-18	43235
2018-10-19	45804
2018-10-20	48619
2018-10-21	44101
2018-10-22	42942
2018-10-23	45447
2018-10-24	48499
2018-10-25	44994
2018-10-26	45192
2018-10-27	42623
2018-10-28	46514
2018-10-29	44752
2018-10-30	43648
2019-01-01	43821
2019-01-02	43246
2019-01-03	44222
2019-01-04	43711
2019-01-05	43361
2019-01-06	47305
2019-01-07	45580
2019-01-08	48799
2019-01-09	43915
2019-01-10	44906
2019-01-11	45885
2019-01-12	47804
2019-01-13	45842
2019-01-14	45835
2019-01-15	45276
2019-01-16	48254
2019-01-17	48516
2019-01-18	44809
2019-01-19	46402
2019-01-20	47115
2019-01-21	49682
2019-01-22	55691
2019-01-23	49749
2019-01-24	47756
2019-01-25	48645
2019-01-26	47100
2019-01-27	48869
2019-01-28	50254
2019-01-29	51935
2019-01-30	49371
2019-01-31	47850
2019-03-01	42034
2019-03-02	42089
2019-03-03	41241
2019-03-04	38548
2019-03-05	40751
2019-03-06	45250
2019-03-07	42564
2019-03-08	44716
2019-03-09	41672
2019-03-10	43831
2019-03-11	48539
2019-03-12	46066
2019-03-13	45196
2019-03-14	43726
2019-03-15	45348
2019-03-16	48221
2019-03-17	47081
2019-03-18	43173
2019-03-19	43485
2019-03-20	43991
2019-03-21	46811
2019-03-22	46918
2019-03-23	45839
2019-03-24	44190
2019-03-25	47391
2019-03-26	44058
2019-03-27	44609
2019-03-28	43954
2019-03-29	44472
2019-03-30	44625
2019-03-31	48465
2019-05-01	49597
2019-05-02	41862
2019-05-03	44782
2019-05-04	44449
2019-05-05	44961
2019-05-06	44498
2019-05-07	47577
2019-05-08	46461
2019-05-09	43321
2019-05-10	44250
2019-05-11	45549
2019-05-12	46957
2019-05-13	47388
2019-05-14	47217
2019-05-15	47956
2019-05-16	47378
2019-05-17	47403
2019-05-18	46126
2019-05-19	46636
2019-05-20	47277
2019-05-21	46806
2019-05-22	47298
2019-05-23	44134
2019-05-24	45861
2019-05-25	48109
2019-05-26	44970
2019-05-27	47154
2019-05-28	44639
2019-05-29	45144
2019-05-30	47793
2019-05-31	49819
2019-06-01	49248
2019-06-02	48230
2019-06-03	52034
2019-06-04	53122
2019-06-05	48909
2019-06-06	47839
2019-06-07	50638
2019-06-08	48393
2019-06-09	50752
2019-06-10	52069
2019-06-11	51311
2019-06-12	52825
2019-06-13	53436
2019-06-14	51510
2019-06-15	49658
2019-06-16	47804
2019-06-17	45422
2019-06-18	45103
2019-06-19	43017
2019-06-20	45683
2019-06-21	47724
2019-06-22	45629
2019-06-23	47226
2019-06-24	46009
2019-06-25	46133
2019-06-26	44693
2019-06-27	46235
2019-06-28	46993
2019-06-29	44112
2019-06-30	44657
2019-07-01	44706
2019-07-02	44165
2019-07-03	47121
2019-07-04	45669
2019-07-05	47800
2019-07-06	45779
2019-07-07	45149
2019-07-08	45979
2019-07-09	37522
2019-07-10	38431
2019-07-11	33288
2019-07-12	28682
2019-07-13	40408
2019-07-14	42319
2019-07-15	39148
2019-07-16	41144
2019-07-17	40976
2019-07-18	39787
2019-07-19	42092
2019-07-20	40377
2019-07-21	39459
2019-07-22	40980
2019-07-23	39278
2019-07-24	36216
2019-07-25	41671
2019-07-26	38776
2019-07-27	39635
2019-07-28	41282
2019-07-29	44082
2019-07-30	41054
2019-07-31	39826
2019-08-01	45655
2019-08-02	44054
2019-08-03	41164
2019-08-04	39096
2019-08-05	38296
2019-08-06	38719
2019-08-07	43485
2019-08-08	40671
2019-08-09	40087
2019-08-10	42387
2019-08-11	40573
2019-08-12	37327
2019-08-13	40936
2019-08-14	43133
2019-08-15	43066
2019-08-16	44539
2019-08-17	44150
2019-08-18	42843
2019-08-19	46085
2019-08-20	44310
2019-08-21	41335
2019-08-22	40342
2019-08-23	42468
2019-08-24	42322
2019-08-25	41068
2019-08-26	43589
2019-08-27	42213
2019-08-28	42030
2019-08-29	43463
2019-08-30	43424
2019-08-31	43276
2019-09-01	44076
2019-09-02	43097
2019-09-03	38866
2019-09-04	40955
2019-09-05	43404
2019-09-06	42397
2019-09-07	41580
2019-09-08	41552
2019-09-09	42080
2019-09-10	43067
2019-09-11	42862
2019-09-12	42802
2019-09-13	41512
2019-09-14	43523
2019-09-15	40947
2019-09-16	43885
2019-09-17	44294
2019-09-18	48340
2019-09-19	42962
2019-09-20	44401
2019-09-21	44118
2019-09-22	43955
2019-09-23	44357
2019-09-24	43148
2019-09-25	43742
2019-09-26	43465
2019-09-27	45758
2019-09-28	47819
2019-09-29	42099
2019-09-30	40365
2019-10-01	51048
2019-10-02	44282
2019-10-03	17597
2019-10-04	13103
2019-10-05	12690
2019-10-06	13888
2019-10-07	17753
2019-10-08	17930
2019-10-09	21553
2019-10-10	21643
2019-10-11	36238
2019-10-12	33934
2019-10-13	35609
2019-10-14	35779
2019-10-15	38434
2019-10-16	38890
2019-10-17	40823
2019-10-18	43377
2019-10-19	47571
2019-10-20	47687
2019-10-21	43983
2019-10-22	43516
2019-10-23	43299
2019-10-24	49124
2019-10-25	54954
2019-10-26	53823
2019-10-27	58956
2019-10-28	60685
2019-10-29	63946
2019-10-30	56617
2019-10-31	52547
2019-11-01	54420
2019-11-02	54551
2019-11-03	54992
2019-11-04	52166
2019-11-05	17343
2019-11-06	10402
2019-11-07	16736
2019-11-08	9552
2019-11-09	17555
2019-11-10	24736
2019-11-11	26227
2019-11-12	57599
2019-11-13	53763
2019-11-14	68177
2019-11-15	59585
2019-11-16	58586
2019-11-17	56724
2019-11-18	56302
2019-11-19	56410
2019-11-20	54097
2019-11-21	55035
2019-11-22	57265
2019-11-23	58418
2019-11-24	60201
2019-11-25	58594
2019-11-26	74326
2019-11-27	70617
2019-11-28	78580
2019-11-29	92618
2019-11-30	75472
2019-12-01	82036
2019-12-02	81552
2019-12-03	75820
2019-12-04	70812
2019-12-05	80827
2019-12-06	79407
2019-12-07	76707
2019-12-08	75498
2019-12-09	70623
2019-12-10	71092
2019-12-11	69345
2019-12-12	72786
2019-12-13	76217
2019-12-14	72953
2019-12-15	67106
2019-12-16	65358
2019-12-17	69272
2019-12-18	76399
2019-12-19	63144
2019-12-20	72415
2019-12-21	69124
2019-12-22	79315
2019-12-23	73295
2019-12-24	73726
2019-12-25	76515
2019-12-26	79659
2019-12-27	77921
2019-12-28	69393
2019-12-29	80205
2019-12-30	74077
2019-12-31	88550
2020-01-01	77675
2020-01-02	78374
2020-01-03	134521
2020-01-04	103851
2020-01-05	113657
2020-01-06	134476
2020-01-07	106237
2020-01-08	121222
2020-01-09	91034
2020-01-10	94983
2020-01-11	90720
2020-01-12	84623
2020-01-13	83958
2020-01-14	90074
2020-01-15	82646
2020-01-16	86536
2020-01-17	80266
2020-01-18	79856
2020-01-19	90647
2020-01-20	100237
2020-01-21	92585
2020-01-22	94419
2020-01-23	89935
2020-01-24	107705
2020-01-25	107768
2020-01-26	96916
2020-01-27	92429
2020-01-28	89544
2020-01-29	90138
2020-01-30	81488
2020-01-31	91664
2020-02-01	115336
2020-02-02	99164
2020-02-03	91867
2020-02-04	90735
2020-02-05	89529
2020-02-06	118881
2020-02-07	111472
2020-02-08	94806
2020-02-09	91808
2020-02-10	85573
2020-02-11	88541
2020-02-12	78171
2020-02-13	84992
2020-02-14	80215
2020-02-15	74561
2020-02-16	73908
2020-02-17	70052
2020-02-18	71485
2020-02-19	69599
2020-02-20	74702
2020-02-21	73380
2020-02-22	77366
2020-02-23	69720
2020-02-24	80953
2020-02-25	74963
2020-02-26	80146
2020-02-27	78983
2020-02-28	76889
2020-02-29	78448
2020-03-01	94752
2020-03-02	81949
2020-03-03	75861
2020-03-04	77608
2020-03-05	79297
2020-03-06	81052
2020-03-07	82216
2020-03-08	87622
2020-03-09	83079
2020-03-10	80677
2020-03-11	89490
2020-03-12	88051
2020-03-13	99066
2020-03-14	95119
2020-03-15	91806
2020-03-16	94682
2020-03-17	93289
2020-03-18	95480
2020-03-19	104094
2020-03-20	107348
2020-03-21	107508
2020-03-22	99159
2020-03-23	100735
2020-03-24	97561
2020-03-25	99518
2020-03-26	104785
2020-03-27	104485
2020-03-28	111240
2020-03-29	107378
2020-03-30	107188
2020-03-31	103380
2020-04-01	102427
2020-04-02	98396
2020-04-03	101743
2020-04-04	102572
2020-04-05	100229
2020-04-06	101694
2020-04-07	101505
2020-04-08	102269
2020-04-09	109479
2020-04-10	99948
2020-04-11	95759
2020-04-12	96830
2020-04-13	93676
2020-04-14	98935
2020-04-15	96941
2020-04-16	97699
2020-04-17	97270
2020-04-18	98192
2020-04-19	96890
2020-04-20	98865
2020-04-21	88761
2020-04-22	93555
2020-04-23	94969
2020-04-24	90629
2020-04-25	91405
2020-04-26	87494
2020-04-27	85707
2020-04-28	92764
2020-04-29	89317
2020-04-30	91958
2020-05-01	96379
2020-05-02	107609
2020-05-03	97368
2020-05-04	97627
2020-05-05	95278
2020-05-06	102890
2020-05-07	100471
2020-05-08	98914
2020-05-09	109642
2020-05-10	104143
2020-05-11	105010
2020-05-12	101096
2020-05-13	101185
2020-05-14	100535
2020-05-15	99549
2020-05-16	102468
2020-05-17	110471
2020-05-18	113758
2020-05-19	108450
2020-05-20	110090
2020-05-21	117388
2020-05-22	116133
2020-05-23	129153
2020-05-24	121790
2020-05-25	104814
2020-05-26	112718
2020-05-27	117341
2020-05-28	118452
2020-05-29	125319
2020-05-30	128102
2020-05-31	131798
2020-06-01	126553
2020-06-02	121384
2020-06-03	121066
2020-06-04	116795
2020-06-05	113994
2020-06-06	116706
2020-06-07	117656
2020-06-08	108206
2020-06-09	106225
2020-06-10	117767
2020-06-11	108525
2020-06-12	108654
2020-06-13	103821
2020-06-14	105386
2020-06-15	103352
2020-06-16	103441
2020-06-17	104212
2020-06-18	105590
2020-06-19	108372
2020-06-20	108929
2020-06-21	118902
2020-06-22	105192
2020-06-23	107870
2020-06-24	104617
2020-06-25	121249
2020-06-26	146701
2020-06-27	124047
2020-06-28	130202
2020-06-29	124058
2020-06-30	114251
2020-07-01	113568
2020-07-02	108435
2020-07-03	125089
2020-07-04	115848
2020-07-05	115221
2020-07-06	121163
2020-07-07	109755
2020-07-08	105198
2020-07-09	107662
2020-07-10	114060
2020-07-11	111968
2020-07-12	115433
2020-07-13	115952
2020-07-14	120681
2020-07-15	116226
2020-07-16	116609
2020-07-17	116334
2020-07-18	116268
2020-07-19	121986
2020-07-20	119596
2020-07-21	107459
2020-07-22	108771
2020-07-23	116324
2020-07-24	116743
2020-07-25	107779
2020-07-26	116976
2020-07-27	107442
2020-07-28	110344
2020-07-29	106005
2020-07-30	103875
2020-07-31	105777
2020-08-01	109922
2020-08-02	104933
2020-08-03	120068
2020-08-04	128543
2020-08-05	121551
2020-08-06	122316
2020-08-07	136602
2020-08-08	132078
2020-08-09	114093
2020-08-10	117452
2020-08-11	112046
2020-08-12	114115
2020-08-13	122873
2020-08-14	149585
2020-08-15	131970
2020-08-16	118649
2020-08-17	115025
2020-08-18	116861
2020-08-19	120612
2020-08-20	115931
2020-08-21	133131
2020-08-22	135056
2020-08-23	144753
2020-08-24	145012
2020-08-25	140831
2020-08-26	119084
2020-08-27	109938
2020-08-28	118378
2020-08-29	111305
2020-08-30	112889
2020-08-31	126750
2020-09-01	109361
2020-09-02	129665
2020-09-03	105758
2020-09-04	129123
2020-09-05	117218
2020-09-06	124330
2020-09-07	116162
2020-09-08	124680
2020-09-09	106391
2020-09-10	122715
2020-09-11	106204
2020-09-12	123535
2020-09-13	111050
2020-09-14	113003
2020-09-15	100243
2020-09-16	103115
2020-09-17	111462
2020-09-18	123007
2020-09-19	116002
2020-09-20	105543
2020-09-21	119717
2020-09-22	106194
2020-09-23	104997
2020-09-24	104603
2020-09-25	107440
2020-09-26	111754
2020-09-27	109484
2020-09-28	107111
2020-09-29	105145
2020-09-30	120452
2020-10-01	104501
2020-10-02	104737
2020-10-03	108339
2020-10-04	105656
2020-10-05	99076
2020-10-06	128228
2020-10-07	129035
2020-10-08	117767
2020-10-09	122995
2020-10-10	112405
2020-10-11	104405
2020-10-12	105474
2020-10-13	113938
2020-10-14	103735
2020-10-15	93175
2020-10-16	107107
2020-10-17	114669
2020-10-18	106376
2020-10-19	97297
2020-10-20	99685
2020-10-21	115630
2020-10-22	98135
2020-10-23	105204
2020-10-24	112218
2020-10-25	108561
2020-10-26	103034
2020-10-27	120642
2020-10-28	100419
2020-10-29	100534
2020-10-30	96061
2020-10-31	116087
2020-11-01	96235
2020-11-02	96383
2020-11-03	98031
2020-11-04	97667
2020-11-05	86746
2020-11-06	97027
2020-11-07	103767
2020-11-08	91714
2020-11-09	104625
2020-11-10	94596
2020-11-11	97971
2020-11-12	91861
2020-11-13	92907
2020-11-14	107410
2020-11-15	100462
2020-11-16	101501
2020-11-17	98781
2020-11-18	92276
2020-11-19	89698
2020-11-20	92321
2020-11-21	101101
2020-11-22	95682
2020-11-23	91205
2020-11-24	101127
2020-11-25	86685
2020-11-26	88201
2020-11-27	97089
2020-11-28	100955
2020-11-29	90988
2020-11-30	87530
2020-12-01	91573
2020-12-02	86727
2020-12-03	84784
2020-12-04	84479
2020-12-05	84943
2020-12-06	91749
2020-12-07	85186
2020-12-08	80734
2020-12-09	76917
2020-12-10	83222
2020-12-11	82761
2020-12-12	81453
2020-12-13	79820
2020-12-14	77829
2020-12-15	83455
2020-12-16	87953
2020-12-17	89452
2020-12-18	79761
2020-12-19	81451
2020-12-20	92251
2020-12-21	82753
2020-12-22	87356
2020-12-23	87869
2020-12-24	84103
2020-12-25	88644
2020-12-26	85354
2020-12-27	85291
2020-12-28	80812
2020-12-29	92199
2020-12-30	81595
2020-12-31	88263
2021-01-01	86827
2021-01-02	100799
2021-01-03	98617
2021-01-04	84114
2021-01-05	89308
2021-01-06	91149
2021-01-07	82652
2021-01-08	82215
2021-01-09	86820
2021-01-10	87632
2021-01-11	80401
2021-01-12	77883
2021-01-13	81013
2021-01-14	81058
2021-01-15	82834
2021-01-16	84577
2021-01-17	90121
2021-01-18	82275
2021-01-19	85134
2021-01-20	82193
2021-01-21	101137
2021-01-22	81812
2021-01-23	86768
2021-01-24	85847
2021-01-25	83125
2021-01-26	86504
2021-01-27	84177
2021-01-28	84656
2021-01-29	86170
2021-01-30	88635
2021-01-31	88538
2021-02-01	92792
2021-02-02	85066
2021-02-03	89366
2021-02-04	85035
2021-02-05	97789
2021-02-06	94908
2021-02-07	93387
2021-02-08	94913
2021-02-09	88290
2021-02-10	85428
2021-02-11	86772
2021-02-12	93115
2021-02-13	98441
2021-02-14	92058
2021-02-15	95089
2021-02-16	102928
2021-02-17	93867
2021-02-18	92782
2021-02-19	104432
2021-02-20	112093
2021-02-21	113008
2021-02-22	97025
2021-02-23	92856
2021-02-24	94517
2021-02-25	102351
2021-02-26	106454
2021-02-27	105416
2021-02-28	112514
2021-03-01	100417
2021-03-02	97201
2021-03-03	94410
2021-03-04	97950
2021-03-05	127295
2021-03-06	120196
2021-03-07	113592
2021-03-08	105740
2021-03-09	98626
2021-03-10	112510
2021-03-11	106595
2021-03-12	107111
2021-03-13	107378
2021-03-14	125136
2021-03-15	103114
2021-03-16	104388
2021-03-17	102029
2021-03-18	98801
2021-03-19	102160
2021-03-20	96632
2021-03-21	98931
2021-03-22	87466
2021-03-23	95392
2021-03-24	90823
2021-03-25	107011
2021-03-26	100964
2021-03-27	95800
2021-03-28	95610
2021-03-29	98734
2021-03-30	94819
2021-03-31	102218
2021-04-01	109268
2021-04-02	106556
2021-04-03	114903
2021-04-04	105754
2021-04-05	102199
2021-04-06	107523
2021-04-07	108497
2021-04-08	101778
2021-04-09	112401
2021-04-10	115988
2021-04-11	104457
2021-04-12	102357
2021-04-13	97989
2021-04-14	103934
2021-04-15	110327
2021-04-16	114065
2021-04-17	94998
2021-04-18	111778
2021-04-19	107982
2021-04-20	107896
2021-04-21	101163
2021-04-22	116471
2021-04-23	109479
2021-04-24	118905
2021-04-25	119253
2021-04-26	107397
2021-04-27	114046
2021-04-28	104518
2021-04-29	114068
2021-04-30	114376
2021-06-01	104413
2021-06-02	106986
2021-06-03	107501
2021-06-04	104669
2021-06-05	104540
2021-06-06	106558
2021-06-07	115384
2021-06-08	105513
2021-06-09	109575
2021-06-10	112462
2021-06-11	120067
2021-06-12	108574
2021-06-13	106685
2021-06-14	110555
2021-06-15	116192
2021-06-16	109062
2021-06-17	104613
2021-06-18	103967
2021-06-19	105881
2021-06-20	103401
2021-06-21	110256
2021-06-22	102943
2021-06-23	102578
2021-06-24	101473
2021-06-25	108479
2021-06-26	115488
2021-06-27	131477
2021-06-28	132792
2021-06-29	116773
2021-06-30	117504